year,target
5282,-15.472302335185784
5283,-15.856270363106539
5284,-16.70198552752357
5285,-21.696458669714513
5286,-20.491241710990852
5287,-22.188752517761916
5288,-22.316376043246034
5289,-15.979710789926816
5290,-18.812091011952646
5291,-20.335014355494582
5292,-20.82516663814939
5293,-18.23345411458449
5294,-16.776472417167103
5295,-15.085718932321722
5296,-12.608561598622089
5297,-10.102483035492625
5298,-9.388183820052266
5299,-9.62887274566133
5300,-10.922970551511924
5301,-19.941989319853384
5302,-8.214147838473945
5303,-3.6723863307469653
5304,-10.072690452342634
5305,-10.382121776212486
5306,-11.2669349395266
5307,-15.188822060240224
5308,-16.497574882676275
5309,-18.172749810544335
5310,-19.64974157948554
5311,-18.711634443078548
5312,-19.5856130982218
5313,-16.120657375064606
5314,-19.62008197447386
5315,-21.924635419607245
5316,-23.353644908308656
5317,-21.545734293128824
5318,-21.78743957651847
5319,-19.89128177256782
5320,-17.483471201239222
5321,-19.63860915593951
5322,-13.506802497992805
5323,-11.22217041541954
5324,-12.201596062808122
5325,-14.99293366787209
5326,-11.629143516525527
5327,-7.688933213359334
5328,-12.553067889453398
5329,-10.630588573210115
5330,-12.621929940872644
5331,-14.99469717409297
5332,-15.091990774891894
5333,-14.661379625212362
5334,-12.881981144364008
5335,-10.563486699481981
5336,-11.489532068988979
5337,-11.414321693899975
5338,-12.5793397580161
5339,-17.170412982857336
5340,-14.02485727094782
5341,-11.9342678445737
5342,-11.346989178584092
5343,-8.894242448521588
5344,-11.12211658502483
5345,-11.380746757695842
5346,-11.403308218479243
5347,-11.51474697982215
5348,-9.1757861654558
5349,-13.388664469360585
5350,-10.992834733718343
5351,-7.611500363873031
5352,-10.656964170317607
5353,-9.152357936332873
5354,-8.382950653981194
5355,-10.51966419311637
5356,-11.44961081011165
5357,-12.835250470321768
5358,-12.936468370002626
5359,-16.832002024795127
5360,-18.235591397040867
5361,-19.060342895284673
5362,-21.33957949733297
5363,-18.371439582172822
5364,-19.181710458953024
5365,-18.708221147324092
5366,-21.141493996018518
5367,-20.49187838341734
5368,-18.47723602138981
5369,-18.144726990085307
5370,-19.896786303155256
5371,-21.370877037315804
5372,-16.77301608693323
5373,-16.443541395795766
5374,-14.369103324491128
5375,-10.83504443868421
5376,-14.589142957447631
5377,-13.544686175084152
5378,-19.146322737549397
5379,-17.730515858588504
5380,-20.075684550230417
5381,-22.074625416096094
5382,-25.28484832325905
5383,-23.61025025726126
5384,-24.36863731118658
5385,-21.66146099678844
5386,-28.834957908170036
5387,-25.276931085206865
5388,-12.697529527552067
5389,-9.33169273870606
5390,-5.336769801595796
5391,-2.989828661785875
5392,-1.6471549884463919
5393,-5.297227157648479
5394,-5.153125748656603
5395,-7.681436683636239
5396,-8.031232090748777
5397,-5.8652882202248975
5398,-4.894522266735681
5399,-3.7426330437538695
5400,-2.1811109459838818
5401,-0.8093335720721768
5402,0.878313123567164
5403,-1.1657633215308145
5404,16.568060344927733
5405,-15.574358149032488
5406,-18.150300084853296
5407,-11.986396666418063
5408,-4.1097217822626675
5409,-3.900877079106511
5410,-7.118965704022667
5411,-5.330697144082446
5412,-3.8553977935000034
5413,-3.4449157093249028
5414,-4.229268693627066
5415,-4.581573299490611
5416,-5.752228485514966
5417,-2.032517324727923
5418,-2.650393262117195
5419,2.303791886926721
5420,-5.315115967523173
5421,-7.0747304167157345
5422,-3.1993033326851865
5423,2.3725196030121722
5424,3.1556427341918614
5425,2.3471574665501755
5426,2.2202638873169818
5427,1.140152556364189
5428,-0.258484038873771
5429,-2.0063549563664616
5430,-4.692506097875359
5431,-3.624206303204776
5432,-0.9845621997246532
5433,-2.722556928779877
5434,-2.2263267146259125
5435,-3.5102170441884724
5436,-2.3361239764718746
5437,-3.295460216648401
5438,-5.240035732973798
5439,-4.659911101892153
5440,-3.008792406809519
5441,0.08696297752277715
5442,-0.5616357006996218
5443,-2.266997542923658
5444,0.6881273493087363
5445,0.013443021990635629
5446,0.563196993894735
5447,1.7742110189127658
5448,3.7306822527634083
5449,4.158856006065822
5450,3.1194537051522104
5451,1.3032432216281649
5452,-1.5373625403877575
5453,-3.6417031238502737
5454,-8.233508270706825
5455,-8.872704131086355
5456,-8.75637336896386
